rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
263,85,Rare,96.7017,Fringe / Bangs,Green,Crimson,Light Grey,Sage,Porcelain,0085.png,20934040
264,82,Rare,96.6744,Fringe / Bangs,Purple,Aqua,Maroon,Sage,Fair,0082.png,20910283
265,282,Rare,96.6708,Long,Teal,Lemon,Cocoa,Rose,Medium,0282.png,22494083
266,1001,Rare,96.65,Long,Blond,X Blue,Maroon,Peach,Olive,1001.png,28187844
267,68,Rare,96.6273,Long,Charcoal,Pure White,Moss,Off White,Olive,0068.png,20799417
268,735,Rare,96.6232,Side Part,Yellow,Crimson,Espresso,Lavender,Deep Brown,0735.png,26081390
269,843,Rare,96.6126,Long,Pine Green,Lemon,Cocoa,Sand,Brown,0843.png,26936642
270,375,Rare,96.5638,Side Part,Pine Green,Tangerine,Gold,Butter,Fair,0375.png,23230550
271,836,Rare,96.4939,Spiky,White,Emerald,Midnight Navy,Off White,Olive,0836.png,26881209
272,1083,Rare,96.4935,Classic Cut,Jet Black,Hot Pink,Moss,Ice Blue,Deep Brown,1083.png,28837202
273,601,Rare,96.4499,Fringe / Bangs,Blue,Emerald,Espresso,Lavender,Brown,0601.png,25020244
274,933,Rare,96.4459,Spiky,Sandy,Crimson,Gold,Butter,Light,0933.png,27649352
275,1036,Rare,96.4424,Spiky,Brown,X Blue,Black,Lavender,Olive,1036.png,28465009
276,1028,Rare,96.4084,Spiky,Charcoal,X Black,Teal,Rose,Porcelain,1028.png,28401657
277,847,Rare,96.3918,Buzz Cut,Blue,Turquoise,Gold,Lavender,Light,0847.png,26968318
278,367,Rare,96.3835,Classic Cut,Dark Brown,Amethyst,Forest Green,White,Medium,0367.png,23167198
279,360,Rare,96.351,Classic Cut,Silver,Emerald,Bronze,Sky,Olive,0360.png,23111765
280,349,Rare,96.3454,Buzz Cut,Pale Blond,Royal Blue,Forest Green,Off White,Brown,0349.png,23024656
281,449,Rare,96.3223,Spiky,Jet Black,Cyan,Steel Grey,Ice Blue,Light,0449.png,23816556
282,164,Rare,96.3207,Long,Blond,X Black,Forest Green,Peach,Tan,0164.png,21559641
283,396,Rare,96.3129,Classic Cut,Green,Pure White,Steel Grey,Butter,Light,0396.png,23396849
284,575,Rare,96.3098,Long,Orange,Ice Blue,Brown,Pale Blue,Light,0575.png,24814350
285,447,Rare,96.3002,Side Part,Pale Blond,Turquoise,Navy,Off White,Medium,0447.png,23800718
286,115,Rare,96.2954,Fringe / Bangs,Blond,Pure White,Gold,Ice Blue,Tan,0115.png,21171610
287,347,Rare,96.2215,Side Part,Magenta,Tangerine,Light Grey,Off White,Porcelain,0347.png,23008818
288,51,Rare,96.1366,Side Part,Blue,Amethyst,Denim Blue,Mint,Light,0051.png,20664794
289,1078,Rare,96.1317,Buzz Cut,Pale Blond,Amethyst,Navy,Sage,Tan,1078.png,28797607
290,935,Rare,96.1287,Spiky,Jet Black,Turquoise,Gold,Off White,Light,0935.png,27665190
291,344,Rare,96.0805,Fringe / Bangs,Blue,Gold,Moss,Butter,Brown,0344.png,22985061
292,169,Rare,96.0587,Classic Cut,Dark Brown,Aqua,Black,Butter,Fair,0169.png,21599236
293,263,Rare,96.0132,Side Part,Coral,Bubblegum,Forest Green,Pale Blue,Light,0263.png,22343622
294,803,Rare,96.0125,Long,Magenta,X Black,Denim Blue,Peach,Tan,0803.png,26619882
295,224,Rare,95.9948,Long,Jet Black,X Blue,Black,Sand,Fair,0224.png,22034781
296,476,Rare,95.98,Fringe / Bangs,Blue,Emerald,Plum,White,Fair,0476.png,24030369
297,17,Rare,95.971,Spiky,Green,Tangerine,Deep Purple,Off White,Olive,0017.png,20395548
298,655,Rare,95.9705,Classic Cut,Brown,Lime,Maroon,Lavender,Light,0655.png,25447870
299,873,Rare,95.8239,Classic Cut,Brown,Amethyst,Black,White,Deep Brown,0873.png,27174212
300,152,Rare,95.8195,Buzz Cut,Brown,Gold,Cocoa,Pale Blue,Olive,0152.png,21464613
301,761,Rare,95.746,Classic Cut,Brown,Cyan,Plum,Sky,Deep Brown,0761.png,26287284
302,1047,Rare,95.741,Side Part,Red,Pure White,Slate Grey,Sky,Medium,1047.png,28552118
303,87,Rare,95.7176,Long,Pale Blond,X Blue,Plum,Ivory,Brown,0087.png,20949878
304,1073,Rare,95.6781,Side Part,Pink,Crimson,Moss,Blush,Olive,1073.png,28758012
305,220,Rare,95.6462,Buzz Cut,Jet Black,Raspberry,Navy,Ice Blue,Light,0220.png,22003105
306,10,Rare,95.6418,Buzz Cut,Teal,Bubblegum,Denim Blue,Cream,Porcelain,0010.png,20340115
307,173,Rare,95.6398,Spiky,Dark Brown,Turquoise,Denim Blue,Lavender,Olive,0173.png,21630912
308,273,Rare,95.6241,Fringe / Bangs,Dark Brown,Raspberry,Teal,Lavender,Tan,0273.png,22422812
309,314,Rare,95.6199,Spiky,Dark Brown,Hot Pink,Brown,Off White,Brown,0314.png,22747491
310,1099,Rare,95.4898,Classic Cut,White,Periwinkle,Maroon,Mint,Fair,1099.png,28963906
311,1108,Rare,95.485,Classic Cut,Magenta,Ice Blue,Midnight Navy,Sky,Fair,1108.png,29035177
312,299,Rare,95.4745,Spiky,Jet Black,Aqua,Bronze,Sky,Porcelain,0299.png,22628706
313,952,Rare,95.4571,Buzz Cut,Violet,Tangerine,Brown,Rose,Brown,0952.png,27799813
314,11,Rare,95.3911,Long,Pink,Ice Blue,Maroon,Pale Blue,Brown,0011.png,20348034
315,825,Rare,95.3765,Buzz Cut,Purple,Bubblegum,Brown,Blush,Brown,0825.png,26794100
316,986,Rare,95.3558,Spiky,Purple,Pure White,Espresso,Blush,Deep Brown,0986.png,28069059
317,179,Rare,95.3407,Classic Cut,Sky Blue,Pure White,Midnight Navy,Lavender,Olive,0179.png,21678426
318,811,Rare,95.2919,Spiky,White,Bubblegum,Moss,Blush,Light,0811.png,26683234
319,720,Rare,95.2815,Spiky,Silver,X Black,Cocoa,Blush,Tan,0720.png,25962605
320,44,Rare,95.2736,Classic Cut,Charcoal,Royal Blue,Midnight Navy,Sand,Porcelain,0044.png,20609361
321,681,Rare,95.2696,Buzz Cut,Dark Brown,Turquoise,Plum,Sky,Porcelain,0681.png,25653764
322,293,Rare,95.2554,Fringe / Bangs,Pink,Pure White,Maroon,Blush,Tan,0293.png,22581192
323,673,Rare,95.2412,Side Part,Dark Brown,Royal Blue,Bronze,Pale Blue,Medium,0673.png,25590412
324,198,Rare,95.2083,Buzz Cut,Coral,Lemon,Cocoa,Rose,Brown,0198.png,21828887
325,779,Rare,95.171,Side Part,Brown,Aqua,Cocoa,Butter,Porcelain,0779.png,26429826
326,59,Rare,95.1587,Classic Cut,Auburn,Crimson,Plum,Lavender,Deep Brown,0059.png,20728146
327,352,Rare,95.1102,Buzz Cut,Jet Black,Gold,Brown,Ivory,Light,0352.png,23048413
328,121,Rare,95.0892,Spiky,Magenta,X Black,Forest Green,White,Light,0121.png,21219124
329,625,Rare,95.081,Spiky,Teal,X Black,Forest Green,Ice Blue,Porcelain,0625.png,25210300
330,194,Rare,95.059,Classic Cut,Blue,Gold,Forest Green,Rose,Tan,0194.png,21797211
331,374,Rare,95.0109,Classic Cut,White,Amethyst,Teal,Ice Blue,Fair,0374.png,23222631
332,35,Rare,94.9938,Side Part,Pink,Pure White,Denim Blue,Peach,Light,0035.png,20538090
333,542,Rare,94.8991,Classic Cut,Orange,Turquoise,Gold,Peach,Deep Brown,0542.png,24553023
334,390,Rare,94.8629,Fringe / Bangs,White,Crimson,Cocoa,Lavender,Tan,0390.png,23349335
335,461,Rare,94.8594,Buzz Cut,Purple,Turquoise,Moss,Peach,Deep Brown,0461.png,23911584
336,599,Rare,94.8413,Side Part,Blue,Hot Pink,Bronze,Cream,Tan,0599.png,25004406
337,656,Rare,94.8368,Long,Chestnut,Bubblegum,Maroon,White,Fair,0656.png,25455789
338,560,Rare,94.8211,Fringe / Bangs,Blue,Amethyst,Plum,Ivory,Light,0560.png,24695565
339,1051,Rare,94.8067,Buzz Cut,Chestnut,X Black,Moss,Cream,Brown,1051.png,28583794
340,661,Rare,94.7895,Spiky,Brown,Hot Pink,Navy,Sage,Porcelain,0661.png,25495384
341,631,Rare,94.732,Classic Cut,Blue,Periwinkle,Steel Grey,Rose,Deep Brown,0631.png,25257814
342,538,Rare,94.7234,Spiky,Yellow,Bubblegum,Plum,Cream,Tan,0538.png,24521347
343,643,Rare,94.6898,Spiky,Blue,Periwinkle,Forest Green,Sky,Brown,0643.png,25352842
344,857,Rare,94.6884,Classic Cut,Pink,X Black,Steel Grey,Cream,Deep Brown,0857.png,27047508
345,898,Rare,94.6805,Long,Blond,Aqua,Midnight Navy,Off White,Porcelain,0898.png,27372187
346,674,Rare,94.6559,Classic Cut,Orange,Bubblegum,Gold,Sage,Deep Brown,0674.png,25598331
347,939,Rare,94.6438,Classic Cut,Green,Gold,Midnight Navy,Sand,Tan,0939.png,27696866
348,1062,Rare,94.5878,Classic Cut,Orange,Turquoise,Midnight Navy,Sky,Light,1062.png,28670903
349,268,Rare,94.5757,Side Part,Orange,Bubblegum,Deep Purple,Sky,Medium,0268.png,22383217
350,481,Rare,94.5592,Long,White,Royal Blue,Forest Green,Pale Blue,Brown,0481.png,24069964
351,217,Rare,94.5479,Side Part,Auburn,Crimson,Bronze,Sand,Porcelain,0217.png,21979348
352,161,Rare,94.5231,Fringe / Bangs,Purple,Pure White,Light Grey,Sage,Brown,0161.png,21535884
353,88,Rare,94.5173,Spiky,Violet,Bubblegum,Gold,Peach,Medium,0088.png,20957797
354,505,Rare,94.5137,Spiky,White,Cyan,Teal,Peach,Deep Brown,0505.png,24260020
355,170,Rare,94.4982,Spiky,Blond,Amethyst,Moss,Cream,Tan,0170.png,21607155
356,713,Rare,94.4865,Long,Blond,Tangerine,Deep Purple,Sage,Brown,0713.png,25907172
357,552,Rare,94.4782,Buzz Cut,Sandy,X Black,Teal,Cream,Medium,0552.png,24632213
358,422,Rare,94.4609,Buzz Cut,Magenta,X Black,Gold,Blush,Medium,0422.png,23602743
359,185,Rare,94.4448,Buzz Cut,White,Ice Blue,Brown,Rose,Porcelain,0185.png,21725940
360,187,Rare,94.434,Classic Cut,Yellow,X Black,Brown,Sand,Brown,0187.png,21741778
361,249,Rare,94.4284,Fringe / Bangs,Green,Bubblegum,Teal,White,Olive,0249.png,22232756
362,483,Rare,94.4002,Spiky,Blond,Bubblegum,Espresso,Ice Blue,Tan,0483.png,24085802
363,482,Rare,94.3834,Side Part,Pale Blond,Hot Pink,Light Grey,Ivory,Deep Brown,0482.png,24077883
364,639,Rare,94.3627,Buzz Cut,Dark Brown,Cyan,Espresso,Mint,Porcelain,0639.png,25321166
365,72,Rare,94.3555,Side Part,Orange,X Blue,Moss,Sand,Fair,0072.png,20831093
366,1055,Rare,94.3555,Side Part,Orange,X Blue,Gold,Sand,Fair,1055.png,28615470
367,984,Rare,94.3202,Fringe / Bangs,Orange,Periwinkle,Teal,Pale Blue,Medium,0984.png,28053221
368,711,Rare,94.3055,Long,White,X Blue,Maroon,Ivory,Fair,0711.png,25891334
369,1060,Rare,94.2904,Long,White,Bubblegum,Deep Purple,Sage,Olive,1060.png,28655065
370,16,Rare,94.2865,Fringe / Bangs,Coral,Amethyst,Maroon,Rose,Fair,0016.png,20387629
371,564,Rare,94.2857,Side Part,Jet Black,Emerald,Denim Blue,White,Tan,0564.png,24727241
372,710,Rare,94.2793,Buzz Cut,Auburn,X Black,Brown,Cream,Tan,0710.png,25883415
373,633,Rare,94.2707,Side Part,Orange,Emerald,Black,Pale Blue,Fair,0633.png,25273652
374,240,Rare,94.2483,Classic Cut,Sandy,Crimson,Plum,Blush,Fair,0240.png,22161485
375,574,Rare,94.2034,Buzz Cut,Magenta,Emerald,Slate Grey,White,Fair,0574.png,24806431
376,145,Rare,94.2027,Classic Cut,Dark Brown,Ice Blue,Gold,Ivory,Olive,0145.png,21409180
377,54,Rare,94.1841,Long,Chestnut,Tangerine,Slate Grey,Ivory,Brown,0054.png,20688551
378,592,Rare,94.178,Spiky,Magenta,Aqua,Brown,Off White,Light,0592.png,24948973
379,1013,Rare,94.1485,Buzz Cut,Magenta,Aqua,Steel Grey,Lavender,Light,1013.png,28282872
380,937,Rare,94.1389,Buzz Cut,Silver,Lime,Espresso,Ice Blue,Deep Brown,0937.png,27681028
381,721,Rare,94.0854,Spiky,Magenta,Turquoise,Forest Green,Ice Blue,Medium,0721.png,25970524
382,556,Rare,94.0313,Fringe / Bangs,Teal,Aqua,Midnight Navy,Ivory,Olive,0556.png,24663889
383,306,Rare,94.0136,Side Part,Green,Aqua,Black,Peach,Fair,0306.png,22684139
384,543,Rare,94.0088,Side Part,Brown,X Blue,Cocoa,Sand,Light,0543.png,24560942
385,865,Rare,93.936,Spiky,Blue,Hot Pink,Espresso,White,Medium,0865.png,27110860
386,688,Rare,93.9206,Long,Charcoal,Emerald,Gold,Sand,Light,0688.png,25709197
387,370,Rare,93.9001,Classic Cut,Jet Black,Lime,Teal,Cream,Brown,0370.png,23190955
388,1046,Rare,93.8965,Fringe / Bangs,Magenta,Raspberry,Maroon,Ivory,Deep Brown,1046.png,28544199
389,203,Rare,93.8927,Buzz Cut,Purple,Bubblegum,Espresso,Off White,Porcelain,0203.png,21868482
390,833,Rare,93.8917,Spiky,Violet,Pure White,Slate Grey,Off White,Brown,0833.png,26857452
391,259,Rare,93.8587,Classic Cut,Dark Brown,Lime,Midnight Navy,Lavender,Deep Brown,0259.png,22311946
392,925,Rare,93.8028,Side Part,Pink,Tangerine,Plum,Off White,Brown,0925.png,27586000
393,541,Rare,93.796,Side Part,Pink,Pure White,Forest Green,Sky,Medium,0541.png,24545104
394,695,Rare,93.7911,Long,Coral,Bubblegum,Maroon,Ivory,Brown,0695.png,25764630
395,635,Rare,93.7866,Side Part,Chestnut,Crimson,Navy,Off White,Medium,0635.png,25289490
396,951,Rare,93.7821,Spiky,Coral,Lemon,Cocoa,Sage,Brown,0951.png,27791894
397,305,Rare,93.7446,Long,Orange,Aqua,Espresso,Ice Blue,Light,0305.png,22676220
398,60,Rare,93.7393,Spiky,Teal,Aqua,Forest Green,Mint,Fair,0060.png,20736065
399,596,Rare,93.738,Side Part,Purple,Ice Blue,Denim Blue,Pale Blue,Porcelain,0596.png,24980649
400,139,Rare,93.7283,Classic Cut,Sky Blue,Bubblegum,Teal,Pale Blue,Fair,0139.png,21361666
401,932,Rare,93.7266,Spiky,Jet Black,Periwinkle,Espresso,Sage,Porcelain,0932.png,27641433
402,780,Rare,93.7154,Spiky,Green,Tangerine,Bronze,Ivory,Fair,0780.png,26437745
403,409,Rare,93.6934,Fringe / Bangs,Charcoal,Ice Blue,Brown,Butter,Light,0409.png,23499796
404,400,Rare,93.69,Spiky,Magenta,X Black,Cocoa,Pale Blue,Deep Brown,0400.png,23428525
405,824,Rare,93.6896,Side Part,Jet Black,Lime,Gold,Sand,Fair,0824.png,26786181
406,782,Rare,93.6721,Fringe / Bangs,Teal,Aqua,Deep Purple,Cream,Light,0782.png,26453583
407,785,Rare,93.6714,Side Part,Blond,Tangerine,Navy,Blush,Light,0785.png,26477340
408,428,Rare,93.6322,Side Part,Brown,Lime,Plum,Ice Blue,Deep Brown,0428.png,23650257
409,835,Rare,93.6274,Fringe / Bangs,Coral,Pure White,Brown,White,Light,0835.png,26873290
410,335,Rare,93.5491,Side Part,Pale Blond,Lime,Navy,Sand,Fair,0335.png,22913790
411,1033,Rare,93.5476,Classic Cut,White,Tangerine,Cocoa,Mint,Brown,1033.png,28441252
412,546,Rare,93.544,Long,Purple,Gold,Slate Grey,Sand,Tan,0546.png,24584699
413,265,Rare,93.543,Side Part,Pale Blond,X Blue,Cocoa,Rose,Fair,0265.png,22359460
414,230,Rare,93.5428,Fringe / Bangs,Auburn,Pure White,Bronze,Pale Blue,Olive,0230.png,22082295
415,1095,Rare,93.503,Side Part,Charcoal,Cyan,Plum,Cream,Porcelain,1095.png,28932230
416,994,Rare,93.488,Fringe / Bangs,Red,X Black,Navy,Peach,Deep Brown,0994.png,28132411
417,555,Rare,93.4125,Buzz Cut,Charcoal,Amethyst,Espresso,Rose,Medium,0555.png,24655970
418,489,Rare,93.3336,Buzz Cut,Chestnut,Periwinkle,Maroon,Cream,Deep Brown,0489.png,24133316
419,379,Rare,93.2669,Spiky,Yellow,Bubblegum,Teal,Rose,Medium,0379.png,23262226
420,877,Rare,93.2333,Buzz Cut,Red,Tangerine,Espresso,Sage,Light,0877.png,27205888
421,57,Rare,93.231,Fringe / Bangs,Pine Green,Tangerine,Bronze,Rose,Olive,0057.png,20712308
422,131,Rare,93.2165,Long,Violet,Aqua,Slate Grey,Peach,Light,0131.png,21298314
423,1096,Rare,93.2148,Buzz Cut,Green,Aqua,Gold,Lavender,Porcelain,1096.png,28940149
424,350,Rare,93.213,Spiky,Charcoal,Emerald,Brown,White,Medium,0350.png,23032575
425,1063,Rare,93.211,Buzz Cut,Orange,Gold,Brown,Ice Blue,Light,1063.png,28678822
426,411,Rare,93.2069,Buzz Cut,Green,Gold,Maroon,White,Medium,0411.png,23515634
427,976,Rare,93.2011,Spiky,Jet Black,Hot Pink,Deep Purple,Off White,Tan,0976.png,27989869
428,751,Rare,93.1908,Spiky,Purple,Turquoise,Steel Grey,Butter,Fair,0751.png,26208094
429,838,Rare,93.1904,Buzz Cut,Red,Pure White,Teal,Sage,Brown,0838.png,26897047
430,750,Rare,93.185,Side Part,Violet,Crimson,Bronze,Mint,Porcelain,0750.png,26200175
431,233,Rare,93.1532,Side Part,Orange,X Blue,Brown,Ice Blue,Tan,0233.png,22106052
432,510,Rare,93.1504,Classic Cut,Pine Green,Royal Blue,Maroon,Peach,Medium,0510.png,24299615
433,683,Rare,93.1481,Classic Cut,Teal,Gold,Brown,Peach,Olive,0683.png,25669602
434,756,Rare,93.1318,Side Part,Yellow,Aqua,Midnight Navy,Sage,Olive,0756.png,26247689
435,562,Rare,93.1291,Classic Cut,Green,Aqua,Moss,Butter,Deep Brown,0562.png,24711403
436,36,Rare,93.1167,Long,Violet,Crimson,Bronze,Butter,Olive,0036.png,20546009
437,322,Rare,93.0708,Fringe / Bangs,Auburn,Pure White,Teal,Lavender,Deep Brown,0322.png,22810843
438,427,Rare,93.0515,Buzz Cut,Yellow,Pure White,Light Grey,Mint,Olive,0427.png,23642338
439,107,Rare,93.0504,Side Part,Jet Black,Raspberry,Cocoa,Sand,Medium,0107.png,21108258
440,585,Rare,93.0494,Long,Purple,X Black,Bronze,Rose,Fair,0585.png,24893540
441,304,Rare,93.0252,Spiky,Pine Green,Bubblegum,Espresso,Rose,Medium,0304.png,22668301
442,1067,Rare,93.0206,Long,Dark Brown,Royal Blue,Brown,Ivory,Porcelain,1067.png,28710498
443,154,Rare,92.9892,Fringe / Bangs,Violet,Bubblegum,Espresso,Cream,Tan,0154.png,21480451
444,893,Rare,92.9721,Fringe / Bangs,Charcoal,Aqua,Bronze,Sand,Porcelain,0893.png,27332592
445,353,Common,92.9327,Side Part,Blond,Periwinkle,Gold,Pale Blue,Olive,0353.png,23056332
446,581,Common,92.9047,Side Part,Auburn,Tangerine,Light Grey,Rose,Brown,0581.png,24861864
447,83,Common,92.8993,Classic Cut,Chestnut,Raspberry,Midnight Navy,Sand,Brown,0083.png,20918202
448,818,Common,92.8897,Long,Blond,Turquoise,Slate Grey,Rose,Deep Brown,0818.png,26738667
449,819,Common,92.8716,Long,Green,Pure White,Black,White,Olive,0819.png,26746586
450,642,Common,92.8623,Buzz Cut,Purple,Royal Blue,Steel Grey,Peach,Brown,0642.png,25344923
451,264,Common,92.8607,Side Part,Pink,Tangerine,Deep Purple,Off White,Brown,0264.png,22351541
452,565,Common,92.7966,Side Part,Chestnut,X Black,Bronze,Pale Blue,Fair,0565.png,24735160
453,359,Common,92.7914,Side Part,Charcoal,Cyan,Moss,Sand,Medium,0359.png,23103846
454,591,Common,92.7611,Fringe / Bangs,Magenta,X Black,Plum,Ivory,Tan,0591.png,24941054
455,260,Common,92.7493,Buzz Cut,Teal,Gold,Teal,Cream,Medium,0260.png,22319865
456,204,Common,92.7278,Spiky,Chestnut,Emerald,Slate Grey,Peach,Tan,0204.png,21876401
457,1029,Common,92.7164,Spiky,Blue,Periwinkle,Deep Purple,White,Brown,1029.png,28409576
458,491,Common,92.6805,Classic Cut,Dark Brown,Hot Pink,Espresso,Blush,Medium,0491.png,24149154
459,945,Common,92.6576,Buzz Cut,Purple,Royal Blue,Maroon,White,Medium,0945.png,27744380
460,1045,Common,92.6294,Long,Chestnut,Turquoise,Slate Grey,Peach,Brown,1045.png,28536280
461,99,Common,92.5923,Buzz Cut,Red,Bubblegum,Deep Purple,Ice Blue,Medium,0099.png,21044906
462,632,Common,92.5875,Fringe / Bangs,Blue,Raspberry,Denim Blue,Sage,Tan,0632.png,25265733
463,52,Common,92.5861,Buzz Cut,Purple,Ice Blue,Forest Green,Lavender,Brown,0052.png,20672713
464,1008,Common,92.5811,Long,Orange,Amethyst,Espresso,Mint,Light,1008.png,28243277
465,894,Common,92.5274,Long,Dark Brown,X Blue,Denim Blue,Off White,Light,0894.png,27340511
466,105,Common,92.4721,Long,Jet Black,Lime,Light Grey,Cream,Brown,0105.png,21092420
467,634,Common,92.4301,Fringe / Bangs,White,Raspberry,Moss,Rose,Tan,0634.png,25281571
468,157,Common,92.4256,Side Part,Dark Brown,Gold,Bronze,Mint,Tan,0157.png,21504208
469,333,Common,92.4141,Classic Cut,Blue,X Black,Cocoa,Off White,Deep Brown,0333.png,22897952
470,648,Common,92.4117,Buzz Cut,Pine Green,Pure White,Gold,Ivory,Deep Brown,0648.png,25392437
471,729,Common,92.4003,Buzz Cut,Teal,Royal Blue,Gold,Pale Blue,Fair,0729.png,26033876
472,594,Common,92.3912,Spiky,Sandy,X Black,Steel Grey,Ice Blue,Deep Brown,0594.png,24964811
473,998,Common,92.385,Classic Cut,Red,Tangerine,Black,Mint,Light,0998.png,28164087
474,630,Common,92.3632,Spiky,Red,Amethyst,Brown,Ice Blue,Medium,0630.png,25249895
475,842,Common,92.2736,Classic Cut,Charcoal,X Blue,Forest Green,Butter,Medium,0842.png,26928723
476,311,Common,92.2565,Classic Cut,Pale Blond,Royal Blue,Black,Sage,Light,0311.png,22723734
477,717,Common,92.2542,Spiky,Magenta,Cyan,Deep Purple,Peach,Light,0717.png,25938848
478,584,Common,92.2267,Spiky,Dark Brown,Turquoise,Black,White,Tan,0584.png,24885621
479,615,Common,92.2262,Spiky,Orange,X Black,Bronze,White,Brown,0615.png,25131110
480,870,Common,92.2245,Buzz Cut,Green,Periwinkle,Slate Grey,Rose,Olive,0870.png,27150455
481,254,Common,92.2079,Side Part,Green,Ice Blue,Steel Grey,Ice Blue,Porcelain,0254.png,22272351
482,602,Common,92.1956,Long,Jet Black,Royal Blue,Deep Purple,Blush,Medium,0602.png,25028163
483,285,Common,92.1698,Classic Cut,Yellow,X Black,Steel Grey,Mint,Olive,0285.png,22517840
484,212,Common,92.1555,Long,Pine Green,Ice Blue,Moss,Pale Blue,Brown,0212.png,21939753
485,307,Common,92.154,Buzz Cut,Green,Tangerine,Cocoa,Mint,Porcelain,0307.png,22692058
486,284,Common,92.1402,Spiky,Blond,Ice Blue,Gold,Mint,Fair,0284.png,22509921
487,488,Common,92.0955,Spiky,Red,Amethyst,Midnight Navy,Off White,Tan,0488.png,24125397
488,971,Common,92.0927,Spiky,Sky Blue,Crimson,Bronze,Ice Blue,Tan,0971.png,27950274
489,904,Common,92.0776,Fringe / Bangs,White,Periwinkle,Black,Cream,Olive,0904.png,27419701
490,548,Common,92.0387,Side Part,White,Periwinkle,Brown,Off White,Fair,0548.png,24600537
491,533,Common,91.9838,Buzz Cut,Chestnut,Turquoise,Forest Green,Peach,Fair,0533.png,24481752
492,1090,Common,91.9424,Classic Cut,Sky Blue,Bubblegum,Forest Green,Sand,Brown,1090.png,28892635
493,499,Common,91.9222,Classic Cut,Orange,Pure White,Cocoa,Mint,Medium,0499.png,24212506
494,498,Common,91.9148,Long,Pink,Gold,Midnight Navy,Ice Blue,Deep Brown,0498.png,24204587
495,199,Common,91.9045,Classic Cut,Chestnut,Amethyst,Moss,Cream,Deep Brown,0199.png,21836806
496,965,Common,91.8883,Fringe / Bangs,White,Periwinkle,Moss,Ice Blue,Light,0965.png,27902760
497,802,Common,91.8742,Side Part,Green,Raspberry,Plum,Sand,Tan,0802.png,26611963
498,463,Common,91.8332,Fringe / Bangs,Blue,Hot Pink,Bronze,Lavender,Tan,0463.png,23927422
499,256,Common,91.8295,Long,Red,Pure White,Espresso,Blush,Brown,0256.png,22288189
500,972,Common,91.8171,Spiky,Orange,X Blue,Brown,White,Light,0972.png,27958193
501,291,Common,91.8076,Long,Dark Brown,Ice Blue,Bronze,Off White,Light,0291.png,22565354
502,490,Common,91.7887,Side Part,Violet,Crimson,Navy,Ivory,Porcelain,0490.png,24141235
503,402,Common,91.7806,Side Part,Yellow,X Blue,Gold,Pale Blue,Olive,0402.png,23444363
504,985,Common,91.7761,Classic Cut,Charcoal,Hot Pink,Steel Grey,Ice Blue,Medium,0985.png,28061140
505,1071,Common,91.7742,Classic Cut,Yellow,Turquoise,Teal,Pale Blue,Olive,1071.png,28742174
506,124,Common,91.7707,Buzz Cut,Pink,Ice Blue,Brown,Peach,Tan,0124.png,21242881
507,381,Common,91.751,Spiky,Violet,X Blue,Maroon,Sand,Tan,0381.png,23278064
508,412,Common,91.7453,Side Part,Green,Hot Pink,Teal,Ice Blue,Fair,0412.png,23523553
509,301,Common,91.7444,Buzz Cut,Blue,Cyan,Bronze,Lavender,Light,0301.png,22644544
510,110,Common,91.7259,Fringe / Bangs,Magenta,Royal Blue,Slate Grey,Sky,Deep Brown,0110.png,21132015
511,308,Common,91.724,Spiky,Violet,Pure White,Navy,Mint,Medium,0308.png,22699977
512,739,Common,91.7165,Classic Cut,Purple,Turquoise,Gold,Lavender,Brown,0739.png,26113066
513,1049,Common,91.7117,Side Part,Yellow,Emerald,Maroon,Blush,Fair,1049.png,28567956
514,3,Common,91.705,Spiky,Blue,Lime,Forest Green,Rose,Olive,0003.png,20284682
515,25,Common,91.6978,Buzz Cut,Purple,Hot Pink,Denim Blue,Peach,Light,0025.png,20458900
516,722,Common,91.6938,Long,Violet,Amethyst,Forest Green,Cream,Medium,0722.png,25978443
517,13,Common,91.6678,Side Part,Pine Green,Bubblegum,Espresso,Sky,Deep Brown,0013.png,20363872
518,797,Common,91.6638,Buzz Cut,Violet,Amethyst,Teal,Cream,Deep Brown,0797.png,26572368
519,458,Common,91.6594,Spiky,Purple,Royal Blue,Moss,Sand,Light,0458.png,23887827
520,783,Common,91.6574,Side Part,Coral,Hot Pink,Maroon,Lavender,Olive,0783.png,26461502
521,606,Common,91.6523,Fringe / Bangs,White,Amethyst,Deep Purple,Sage,Brown,0606.png,25059839
522,227,Common,91.6516,Buzz Cut,Purple,Ice Blue,Black,Sand,Fair,0227.png,22058538
523,728,Common,91.6279,Fringe / Bangs,Blond,Ice Blue,Brown,Rose,Tan,0728.png,26025957
524,743,Common,91.6255,Long,Coral,Amethyst,Slate Grey,Rose,Deep Brown,0743.png,26144742
525,191,Common,91.6213,Side Part,Blue,Lime,Bronze,Pale Blue,Fair,0191.png,21773454
526,62,Common,91.6208,Spiky,Teal,Lime,Maroon,Cream,Olive,0062.png,20751903
527,478,Common,91.5948,Fringe / Bangs,White,Royal Blue,Moss,Mint,Deep Brown,0478.png,24046207
528,46,Common,91.586,Classic Cut,Pine Green,Bubblegum,Light Grey,Lavender,Fair,0046.png,20625199
529,226,Common,91.5769,Spiky,Purple,Emerald,Brown,Sage,Tan,0226.png,22050619
